Comunidad Autónoma;Confirmados;Muertes;Día;Población;% de letalidad;% Población contagiada total;% Población fallecida total
Cataluña;79324;5686.0;2020-08-02;7780479;7.168070193131965;1.0195259186484533;0.07308033348589464
Castilla-Leon;20310;2798.0;2020-08-02;2394918;13.77646479566716;0.8480457368477752;0.1168307223879899
Cantabria;2469;217.0;2020-08-02;582905;8.788983394086674;0.4235681629081926;0.03722733550063904
Canarias;2631;162.0;2020-08-02;2175952;6.1573546180159635;0.12091259366015426;0.007445017169496386
Valencia;13318;1436.0;2020-08-02;5057353;10.782399759723683;0.2633393397692429;0.02839430033853678
Baleares;2545;224.0;2020-08-02;1171543;8.801571709233793;0.2172348774223396;0.019120083513793348
Asturias;2516;334.0;2020-08-02;1018784;13.27503974562798;0.2469610830166159;0.032784181926689075
Aragon;12685;915.0;2020-08-02;1329391;7.213243988963343;0.9541963199690685;0.06882850869307826
Andalucia;15107;1435.0;2020-08-02;8464411;9.498907791090224;0.17847668313837786;0.016953335559910784
Castilla-La Mancha;18743;3032.0;2020-08-02;2045221;16.176705970228884;0.9164290802803218;0.1482480377426205
Murcia;2326;148.0;2020-08-02;1511251;6.362854686156492;0.153912222390589;0.009793211054947192
Pais Vasco;16149;1565.0;2020-08-02;2220504;9.691002538856894;0.7272673230942165;0.0704794947453371
Total;288522;28445.0;2020-08-02;48965550;9.858866914827985;0.5892346762162377;0.05809186254417647
Navarra;6666;529.0;2020-08-02;2175952;7.935793579357936;0.30634866945594386;0.02431119804113326
Pais Vasco;17820;1565.0;2020-08-09;2220504;8.78226711560045;0.8025205088574486;0.0704794947453371
La Rioja;4233;366.0;2020-08-09;319914;8.646350106307583;1.3231681014272585;0.1144057465443838
Galicia;10011;619.0;2020-08-09;2701819;6.183198481670162;0.3705281515897253;0.022910491043256414
Extremadura;3542;521.0;2020-08-09;1063987;14.709203839638622;0.33289880421471313;0.04896676369166165
Ceuta;166;4.0;2020-08-09;84202;2.4096385542168677;0.1971449609272939;0.004750480986199852
Cataluña;85970;5704.0;2020-08-09;7780479;6.634872629987205;1.1049448240911646;0.07331168171008494
Castilla-Leon;21130;2800.0;2020-08-09;2394918;13.251301467108377;0.8822849049529045;0.11691423255409997
Madrid;80673;8458.0;2020-08-09;6779888;10.484300819357157;1.1898869125861666;0.12475132332569505
Castilla-La Mancha;19109;3038.0;2020-08-09;2045221;15.898267831911665;0.9343244568679864;0.14854140457192647
Canarias;2798;162.0;2020-08-09;2175952;5.789849892780557;0.12858739531019067;0.007445017169496386
Valencia;14908;1437.0;2020-08-09;5057353;9.639119935605045;0.29477871131400163;0.02841407352818757
Baleares;3051;224.0;2020-08-09;1171543;7.341855129465749;0.2604257803597478;0.019120083513793348
Asturias;2635;334.0;2020-08-09;1018784;12.675521821631879;0.25864167478091526;0.032784181926689075
Aragon;18870;937.0;2020-08-09;1329391;4.9655537890832;1.4194469497687288;0.07048340179826702
Andalucia;16618;1438.0;2020-08-09;8464411;8.653267541220364;0.1963278957035522;0.01698877807327645
Cantabria;2653;217.0;2020-08-09;582905;8.179419525065963;0.45513419854007087;0.03722733550063904
Murcia;2831;148.0;2020-08-09;1511251;5.227834687389615;0.18732824659834799;0.009793211054947192
Melilla;151;2.0;2020-08-09;87076;1.3245033112582782;0.1734117322798475;0.0022968441361569205
Total;314362;28503.0;2020-08-09;48965550;9.066935571093198;0.6420064718970787;0.05821031316915668
Navarra;7193;529.0;2020-08-09;2175952;7.354372306409009;0.33056795370486114;0.02431119804113326
Galicia;10741;623.0;2020-08-16;2701819;5.800204822642212;0.39754698593799215;0.023058539450644178
Total;342813;28617.0;2020-08-16;48965550;8.347699766344917;0.7001105879541841;0.05844312991480745
Pais Vasco;20479;1566.0;2020-08-16;2220504;7.646857756726402;0.9222680976931363;0.07052452956626064
Murcia;3339;149.0;2020-08-16;1511251;4.462413896376161;0.22094278184100458;0.009859381399913053
Melilla;188;2.0;2020-08-16;87076;1.0638297872340425;0.2159033487987505;0.0022968441361569205
Madrid;87967;8481.0;2020-08-16;6779888;9.641115418281856;1.2974698107107374;0.12509056196798532
La Rioja;4430;366.0;2020-08-16;319914;8.261851015801355;1.3847471507967766;0.1144057465443838
Extremadura;3789;522.0;2020-08-16;1063987;13.776722090261282;0.3561133735656545;0.0490607498023942
Cantabria;2930;220.0;2020-08-16;582905;7.508532423208191;0.5026548065293659;0.03774199912507184
Cataluña;91982;5709.0;2020-08-16;7780479;6.206649127003109;1.182215130970728;0.07337594510569337
Castilla-Leon;22670;2804.0;2020-08-16;2394918;12.368769298632554;0.9465877328576594;0.11708125288632011
