Comunidad Autónoma;Confirmados;Muertes;Día;Comunidad/Ciudad Autónoma
Madrid;27250.0;260.0;2020-10-04;Comunidad de Madrid
Valencia;3727.0;30.0;2020-10-04;Comunitat Valenciana
Extremadura;1124.0;26.0;2020-10-04;Extremadura
Andalucia;8725.0;123.0;2020-10-04;Andalucía
Galicia;1255.0;22.0;2020-10-04;Galicia
Ceuta;114.0;0.0;2020-10-04;Ceuta
Castilla-La Mancha;4678.0;100.0;2020-10-04;Castilla - La Mancha
La Rioja;615.0;12.0;2020-10-04;La Rioja
Cantabria;320.0;2.0;2020-10-04;Cantabria
Andalucia;9280.0;112.0;2020-10-11;Andalucía
Valencia;3381.0;31.0;2020-10-11;Comunitat Valenciana
Canarias;895.0;5.0;2020-10-11;Canarias
Cantabria;304.0;2.0;2020-10-11;Cantabria
Asturias;765.0;5.0;2020-10-11;Principado de Asturias
Madrid;20803.0;266.0;2020-10-11;Comunidad de Madrid
Cataluña;11890.0;24.0;2020-10-11;Cataluña
Ceuta;148.0;1.0;2020-10-11;Ceuta
Galicia;1848.0;29.0;2020-10-11;Galicia
Aragon;2196.0;59.0;2020-10-11;Aragón
La Rioja;583.0;5.0;2020-10-11;La Rioja
Total;71180.0;843.0;2020-10-11;Total
Navarra;2258.0;33.0;2020-10-11;Comunidad Foral de Navarra
Extremadura;1255.0;32.0;2020-10-11;Extremadura
Castilla-Leon;5106.0;123.0;2020-10-11;Castilla y León
Baleares;794.0;16.0;2020-10-11;Illes Balears
Castilla-La Mancha;3952.0;43.0;2020-10-11;Castilla - La Mancha
Melilla;204.0;1.0;2020-10-11;Melilla
Murcia;2861.0;13.0;2020-10-11;Región de Murcia
Pais Vasco;2657.0;43.0;2020-10-11;País Vasco
Valencia;3304.0;36.0;2020-10-18;Comunitat Valenciana
Asturias;1348.0;11.0;2020-10-18;Principado de Asturias
Canarias;797.0;10.0;2020-10-18;Canarias
Baleares;847.0;11.0;2020-10-18;Illes Balears
Cantabria;429.0;5.0;2020-10-18;Cantabria
Pais Vasco;3903.0;42.0;2020-10-18;País Vasco
Castilla-Leon;5943.0;108.0;2020-10-18;Castilla y León
Aragon;3287.0;38.0;2020-10-18;Aragón
Castilla-La Mancha;3752.0;68.0;2020-10-18;Castilla - La Mancha
Total;75448.0;846.0;2020-10-18;Total
Madrid;15028.0;240.0;2020-10-18;Comunidad de Madrid
Navarra;3296.0;28.0;2020-10-18;Comunidad Foral de Navarra
Ceuta;133.0;1.0;2020-10-18;Ceuta
Andalucia;12069.0;115.0;2020-10-18;Andalucía
La Rioja;837.0;10.0;2020-10-18;La Rioja
Galicia;2094.0;35.0;2020-10-18;Galicia
Melilla;281.0;4.0;2020-10-18;Melilla
Cataluña;13854.0;34.0;2020-10-18;Cataluña
Extremadura;1594.0;24.0;2020-10-18;Extremadura
Murcia;2652.0;26.0;2020-10-18;Región de Murcia
Baleares;1054.0;25.0;2020-10-25;Illes Balears
Andalucia;19609.0;176.0;2020-10-25;Andalucía
Cantabria;879.0;6.0;2020-10-25;Cantabria
Galicia;3094.0;47.0;2020-10-25;Galicia
La Rioja;1164.0;6.0;2020-10-25;La Rioja
Pais Vasco;5642.0;53.0;2020-10-25;País Vasco
Castilla-La Mancha;5011.0;16.0;2020-10-25;Castilla - La Mancha
Ceuta;244.0;1.0;2020-10-25;Ceuta
